Mean,Std
0.26607686,0.14859757
0.20839955,0.13731444
0.22050509,0.15129031
0.19064677,0.13857059
0.18894838,0.14052814
0.1958648,0.14207143
0.21172644,0.15137361
0.16683778,0.13178995
0.23708312,0.16652071
0.2302276,0.16433372
0.23963533,0.17452554
0.23349571,0.17337005
0.212867,0.16328532
0.20562589,0.16039546
0.19097139,0.15194443
0.20321395,0.15868518
0.2225755,0.1718825
0.24145712,0.1818584
0.27772236,0.20292586
0.32163268,0.22860254
0.34843978,0.24527366
0.38693383,0.2686957
0.4234145,0.2910898
0.44157174,0.3017608
0.4337353,0.29338196
0.4377791,0.2966107
0.4305191,0.29171118
0.43289807,0.2928828
0.42945576,0.29009917
0.4431954,0.30031195
0.45078886,0.30592987
